iter	prompt0_input_tokens	prompt1_input_tokens	prompt2_input_tokens	total
0	256	0	0	256
1	256	0	0	256
2	256	0	0	256
3	250	6	0	256
4	1	255	0	256
5	1	255	0	256
6	1	255	0	256
7	1	247	8	256
8	1	1	254	256
9	1	1	254	256
10	1	1	254	256
11	1	1	248	250
12	1	1	1	3
13	1	1	1	3
14	1	1	1	3
15	1	1	1	3
16	1	1	1	3
17	1	1	1	3
18	1	1	1	3
19	1	1	1	3
20	1	1	1	3
21	1	1	1	3
22	1	1	1	3
23	1	1	1	3
24	1	1	1	3
25	1	1	1	3
26	1	1	1	3
27	1	1	1	3
28	1	1	1	3
29	1	1	1	3
30	1	1	1	3
31	1	1	1	3
32	1	1	1	3
33	1	1	1	3
34	1	1	1	3
35	1	1	1	3
36	1	1	1	3
37	1	1	1	3
38	1	1	1	3
39	1	1	1	3
40	1	1	1	3
41	1	1	1	3
42	1	1	1	3
43	1	1	1	3
44	1	1	1	3
45	1	1	1	3
46	1	1	1	3
47	1	1	1	3
48	1	1	1	3
49	1	1	1	3
50	1	1	1	3
51	1	1	1	3
52	1	1	1	3
53	1	1	1	3
54	1	1	1	3
55	1	1	1	3
56	1	1	1	3
57	1	1	1	3
58	1	1	1	3
59	1	1	1	3
60	1	1	1	3
61	1	1	1	3
62	1	1	1	3
63	1	1	1	3
64	1	1	1	3
65	1	1	1	3
66	1	1	1	3
67	1	1	1	3
68	1	1	1	3
69	1	1	1	3
70	1	1	1	3
71	1	1	1	3
72	1	1	1	3
73	1	1	1	3
74	1	1	1	3
75	1	1	1	3
76	1	1	1	3
77	1	1	1	3
78	1	1	1	3
79	1	1	1	3
80	1	1	1	3
81	1	1	1	3
82	1	1	1	3
83	1	1	1	3
84	1	1	1	3
85	1	1	1	3
86	1	1	1	3
87	1	1	1	3
88	1	1	1	3
89	1	1	1	3
90	1	1	1	3
91	1	1	1	3
92	1	1	1	3
93	1	1	1	3
94	1	1	1	3
95	1	1	1	3
96	1	1	1	3
97	1	1	1	3
98	1	1	1	3
99	1	1	1	3
100	1	1	1	3
101	1	1	1	3
102	1	1	1	3
103	1	1	1	3
104	1	1	1	3
105	1	1	1	3
106	1	1	1	3
107	1	1	1	3
108	1	1	1	3
109	1	1	1	3
110	1	1	1	3
111	1	1	1	3
112	1	1	1	3
113	1	1	1	3
114	1	1	1	3
115	1	1	1	3
116	1	1	1	3
117	1	1	1	3
118	1	1	1	3
119	1	1	1	3
120	1	1	1	3
121	1	1	1	3
122	1	1	1	3
123	1	1	1	3
124	1	1	1	3
125	1	1	1	3
126	1	1	1	3
127	1	1	1	3
128	1	1	1	3
129	1	1	1	3
130	1	1	1	3
131	1	1	1	3
132	1	1	1	3
133	1	1	1	3
134	1	1	1	3
135	1	1	1	3
136	1	1	1	3
137	1	1	1	3
138	1	1	1	3
139	1	1	1	3
140	1	1	1	3
141	1	1	1	3
142	1	1	1	3
143	1	1	1	3
144	1	1	1	3
145	1	1	1	3
146	1	1	1	3
147	1	1	1	3
148	1	1	1	3
149	1	1	1	3
150	1	1	1	3
151	1	1	1	3
152	1	1	1	3
153	1	1	1	3
154	1	1	1	3
155	1	1	1	3
156	1	1	1	3
157	1	1	1	3
158	1	1	1	3
159	1	1	1	3
160	1	1	1	3
161	1	1	1	3
162	1	1	1	3
163	1	1	1	3
164	1	1	1	3
165	1	1	1	3
166	1	1	1	3
167	1	1	1	3
168	1	1	1	3
169	1	1	1	3
170	1	1	1	3
171	1	1	1	3
172	1	1	1	3
173	1	1	1	3
174	1	1	1	3
175	1	1	1	3
176	1	1	1	3
177	1	1	1	3
178	1	1	1	3
179	1	1	1	3
180	1	1	1	3
181	1	1	1	3
182	1	1	1	3
183	1	1	1	3
184	1	1	1	3
185	1	1	1	3
186	1	1	1	3
187	1	1	1	3
188	1	1	1	3
189	1	1	1	3
190	1	1	1	3
191	1	1	1	3
192	1	1	1	3
193	1	1	1	3
194	1	1	1	3
195	1	1	1	3
196	1	1	1	3
197	1	1	1	3
198	1	1	1	3
199	1	1	1	3
200	1	1	1	3
201	1	1	1	3
202	1	1	1	3
203	1	1	1	3
204	1	1	1	3
205	1	1	1	3
206	1	1	1	3
207	1	1	1	3
208	1	1	1	3
209	1	1	1	3
210	1	1	1	3
211	1	1	1	3
212	1	1	1	3
213	1	1	1	3
214	1	1	1	3
215	1	1	1	3
216	1	1	1	3
217	1	1	1	3
218	1	1	1	3
219	1	1	1	3
220	1	1	1	3
221	1	1	1	3
222	1	1	1	3
223	1	1	1	3
224	1	1	1	3
225	1	1	1	3
226	1	1	1	3
227	1	1	1	3
228	1	1	1	3
229	1	1	1	3
230	1	1	1	3
231	1	1	1	3
232	1	1	1	3
233	1	1	1	3
234	1	1	1	3
235	1	1	1	3
236	1	1	1	3
237	1	1	1	3
238	1	1	1	3
239	1	1	1	3
240	1	1	1	3
241	1	1	1	3
242	1	1	1	3
243	1	1	1	3
244	1	1	1	3
245	1	1	1	3
246	1	1	1	3
247	0	1	1	2
248	0	1	1	2
249	0	1	1	2
250	0	1	1	2
251	0	0	1	1
252	0	0	1	1
253	0	0	1	1
254	0	0	1	1
