mode	pa_exec_idx	cb_iter	prompt0_tokens	prompt1_tokens	prompt2_tokens	past_len_prompt0	past_len_prompt1	past_len_prompt2	total_prompt_tokens	pa_output_tokens	output_shape	kernel_count	stage_1	stage_2	kernel_list
splitfuse	0	0	256	0	0	0	0	0	256	256	f16:bfyx:256x4096:nopad	2	sdpa_micro__prefill_13099391220718820805__sa		pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	1	1	256	0	0	256	0	0	256	256	f16:bfyx:256x4096:nopad	2	sdpa_micro__generate_13099391220718820805__sa		pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	2	2	256	0	0	512	0	0	256	256	f16:bfyx:256x4096:nopad	2	sdpa_micro__generate_13099391220718820805__sa		pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	3	3	250	6	0	768	0	0	256	256	f16:bfyx:256x4096:nopad	2	sdpa_micro__generate_13099391220718820805__sa		pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	4	4	1	255	0	1018	6	0	256	256	f16:bfyx:256x4096:nopad	2	sdpa_micro__generate_13099391220718820805__sa		pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	5	5	1	255	0	1019	261	0	256	256	f16:bfyx:256x4096:nopad	2	sdpa_micro__generate_13099391220718820805__sa		pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	6	6	1	255	0	1020	516	0	256	256	f16:bfyx:256x4096:nopad	2	sdpa_micro__generate_13099391220718820805__sa		pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	7	7	1	247	8	1021	771	0	256	256	f16:bfyx:256x4096:nopad	2	sdpa_micro__generate_13099391220718820805__sa		pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	8	8	1	1	254	1022	1018	8	256	256	f16:bfyx:256x4096:nopad	2	sdpa_micro__generate_13099391220718820805__sa		pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	9	9	1	1	254	1023	1019	262	256	256	f16:bfyx:256x4096:nopad	2	sdpa_micro__generate_13099391220718820805__sa		pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	10	10	1	1	254	1024	1020	516	256	256	f16:bfyx:256x4096:nopad	2	sdpa_micro__generate_13099391220718820805__sa		pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	11	11	1	1	248	1025	1021	770	250	250	f16:bfyx:250x4096:nopad	2	sdpa_micro__generate_13099391220718820805__sa		pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	12	12	1	1	1	1026	1022	1018	3	3	f16:bfyx:3x4096:nopad	3	paged_attention_opt__single_token_13099391220718820805__sa	paged_attention_opt__single_token_finalization_13099391220718820805__sa	pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	13	13	1	1	1	1027	1023	1019	3	3	f16:bfyx:3x4096:nopad	3	paged_attention_opt__single_token_13099391220718820805__sa	paged_attention_opt__single_token_finalization_13099391220718820805__sa	pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	14	14	1	1	1	1028	1024	1020	3	3	f16:bfyx:3x4096:nopad	3	paged_attention_opt__single_token_13099391220718820805__sa	paged_attention_opt__single_token_finalization_13099391220718820805__sa	pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	15	15	1	1	1	1029	1025	1021	3	3	f16:bfyx:3x4096:nopad	3	paged_attention_opt__single_token_13099391220718820805__sa	paged_attention_opt__single_token_finalization_13099391220718820805__sa	pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	16	16	1	1	1	1030	1026	1022	3	3	f16:bfyx:3x4096:nopad	3	paged_attention_opt__single_token_13099391220718820805__sa	paged_attention_opt__single_token_finalization_13099391220718820805__sa	pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	17	17	1	1	1	1031	1027	1023	3	3	f16:bfyx:3x4096:nopad	3	paged_attention_opt__single_token_13099391220718820805__sa	paged_attention_opt__single_token_finalization_13099391220718820805__sa	pa_kv_cache_update_ref__13099391220718820805__sa
splitfuse	18	18	1	1	1	1032	1028	1024	3	3	f16:bfyx:3x4096:nopad	3	paged_attention_opt__single_token_13099391220718820805__sa	paged_attention_opt__single_token_finalization_13099391220718820805__sa	pa_kv_cache_update_ref__13099391220718820805__sa
